mth,net_bal_amt
2004-09,1.10E+11
2004-10,1.10E+11
2004-11,1.11E+11
2004-12,1.12E+11
2005-01,1.13E+11
2005-02,1.14E+11
2005-03,1.15E+11
2005-04,1.16E+11
2005-05,1.16E+11
2005-06,1.17E+11
2005-07,1.17E+11
2005-08,1.18E+11
2005-09,1.18E+11
2005-10,1.19E+11
2005-11,1.19E+11
2005-12,1.20E+11
2006-01,1.21E+11
2006-02,1.21E+11
2006-03,1.22E+11
2006-04,1.22E+11
2006-05,1.22E+11
2006-06,1.23E+11
2006-07,1.24E+11
2006-08,1.24E+11
2006-09,1.24E+11
2006-10,1.25E+11
2006-11,1.25E+11
2006-12,1.26E+11
2007-01,1.27E+11
2007-02,1.28E+11
2007-03,1.29E+11
2007-04,1.30E+11
2007-05,1.31E+11
2007-06,1.31E+11
2007-07,1.32E+11
2007-08,1.33E+11
2007-09,1.34E+11
2007-10,1.35E+11
2007-11,1.35E+11
2007-12,1.37E+11
2008-01,1.38E+11
2008-02,1.39E+11
2008-03,1.40E+11
2008-04,1.41E+11
2008-05,1.42E+11
2008-06,1.43E+11
2008-07,1.45E+11
2008-08,1.46E+11
2008-09,1.47E+11
2008-10,1.48E+11
2008-11,1.50E+11
2008-12,1.51E+11
2009-01,1.53E+11
2009-02,1.55E+11
2009-03,1.56E+11
2009-04,1.57E+11
2009-05,1.59E+11
2009-06,1.60E+11
2009-07,1.61E+11
2009-08,1.62E+11
2009-09,1.64E+11
2009-10,1.65E+11
2009-11,1.66E+11
2009-12,1.67E+11
2010-01,1.69E+11
2010-02,1.70E+11
2010-03,1.72E+11
2010-04,1.74E+11
2010-05,1.75E+11
2010-06,1.77E+11
2010-07,1.78E+11
2010-08,1.80E+11
2010-09,1.82E+11
2010-10,1.83E+11
2010-11,1.84E+11
2010-12,1.86E+11
2011-01,1.88E+11
2011-02,1.90E+11
2011-03,1.92E+11
2011-04,1.95E+11
2011-05,1.96E+11
2011-06,1.98E+11
2011-07,1.99E+11
2011-08,2.01E+11
2011-09,2.03E+11
2011-10,2.04E+11
2011-11,2.06E+11
2011-12,2.08E+11
2012-01,2.10E+11
2012-02,2.12E+11
2012-03,2.14E+11
2012-04,2.16E+11
2012-05,2.18E+11
2012-06,2.19E+11
2012-07,2.21E+11
2012-08,2.23E+11
2012-09,2.25E+11
2012-10,2.26E+11
2012-11,2.28E+11
2012-12,2.30E+11
2013-01,2.33E+11
2013-02,2.35E+11
2013-03,2.37E+11
2013-04,2.39E+11
2013-05,2.41E+11
2013-06,2.43E+11
2013-07,2.44E+11
2013-08,2.47E+11
2013-09,2.48E+11
2013-10,2.49E+11
2013-11,2.51E+11
2013-12,2.53E+11
2014-01,2.55E+11
2014-02,2.58E+11
2014-03,2.60E+11
2014-04,2.62E+11
2014-05,2.63E+11
2014-06,2.65E+11
2014-07,2.67E+11
2014-08,2.69E+11
2014-09,2.70E+11
2014-10,2.72E+11
2014-11,2.73E+11
2014-12,2.75E+11
2015-01,2.78E+11
2015-02,2.80E+11
2015-03,2.82E+11
2015-04,2.85E+11
2015-05,2.87E+11
2015-06,2.88E+11
2015-07,2.90E+11
2015-08,2.92E+11
2015-09,2.94E+11
2015-10,2.95E+11
2015-11,2.98E+11
2015-12,3.00E+11
2016-01,3.02E+11
2016-02,3.05E+11
2016-03,3.08E+11
2016-04,3.10E+11
2016-05,3.13E+11
2016-06,3.15E+11
2016-07,3.17E+11
2016-08,3.20E+11
