quarter,level_1,level_2,level_3,value
1998-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,-83
1998-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
1998-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,-15
1998-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,-37
1998-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-39
1998-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-34
1998-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,-37
1998-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,17
1998-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-46
1998-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-66
1998-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
1998-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,-43
1998-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-27
1998-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-30
1998-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-30
1998-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-39
1998-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,37
1998-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-41
1998-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-31
1998-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
1998-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,-65
1998-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,-21
1999-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-15
1999-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-21
1999-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,42
1999-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-2
1999-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-24
1999-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,-21
1999-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
1999-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,-34
1999-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,0
1999-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,15
1999-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,17
1999-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,50
1999-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,10
1999-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,23
1999-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,41
1999-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
1999-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,27
1999-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,6
1999-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,23
1999-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,27
1999-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,54
1999-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,63
1999-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,44
1999-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-16
1999-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
1999-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,76
1999-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-41
1999-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,19
1999-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,11
1999-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,0
1999-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,31
1999-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,66
1999-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,1
1999-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
1999-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,52
1999-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,52
2000-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,18
2000-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-16
2000-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-19
2000-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,10
2000-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,64
2000-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,-18
2000-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
2000-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,69
2000-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,18
2000-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,24
