quarter,level_1,level_2,level_3,value
2016-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,19
2016-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-15
2016-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,23
2016-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,1
2016-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,19
2016-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-12
2016-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-13
2016-Q3,Total Services Sector,Financial & Insurance,Fund Management,4
2016-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,14
2016-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,5
2016-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-2
2016-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-22
2016-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-44
2016-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-30
2016-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-5
2016-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-6
2016-Q4,Total Services Sector,Financial & Insurance,Fund Management,-4
2016-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,-5
2016-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,-4
2017-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,6
2017-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-29
2017-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-15
2017-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-28
2017-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,11
2017-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,13
2017-Q1,Total Services Sector,Financial & Insurance,Fund Management,-5
2017-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,2
2017-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,-2
2017-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-2
2017-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-5
2017-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,27
2017-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,41
2017-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,6
2017-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,15
2017-Q2,Total Services Sector,Financial & Insurance,Fund Management,0
2017-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,20
2017-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,33
2017-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,6
2017-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,19
2017-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,11
2017-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,34
2017-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,4
2017-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-7
2017-Q3,Total Services Sector,Financial & Insurance,Fund Management,22
2017-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,37
2017-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,40
2017-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,6
2017-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-5
2017-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-23
2017-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-6
2017-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,22
2017-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,13
2017-Q4,Total Services Sector,Financial & Insurance,Fund Management,7
2017-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,29
2017-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,10
2018-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,10
2018-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-19
2018-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-7
2018-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-6
2018-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,25
2018-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,13
2018-Q1,Total Services Sector,Financial & Insurance,Fund Management,4
2018-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,20
2018-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,5
2018-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,4
2018-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,7
2018-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,38
2018-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,37
2018-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,17
2018-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,10
2018-Q2,Total Services Sector,Financial & Insurance,Fund Management,1
2018-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,23
2018-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,12
2018-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,2
2018-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,29
2018-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,17
2018-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,36
2018-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-5
2018-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,11
2018-Q3,Total Services Sector,Financial & Insurance,Fund Management,0
2018-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,20
2018-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,0
2018-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-9
2018-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,2
2018-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-26
2018-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,4
2018-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-16
2018-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-8
2018-Q4,Total Services Sector,Financial & Insurance,Fund Management,-17
2018-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,12
2018-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,21
2019-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,9
2019-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-14
2019-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-2
2019-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-9
2019-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-3
2019-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,11
2019-Q1,Total Services Sector,Financial & Insurance,Fund Management,4
2019-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,5
2019-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,34
2019-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-4
2019-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-7
2019-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,25
2019-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,19
2019-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-14
2019-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,-23
2019-Q2,Total Services Sector,Financial & Insurance,Fund Management,-17
2019-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,11
2019-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,17
2019-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-5
2019-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,7
2019-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,22
2019-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,28
2019-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-24
2019-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-22
2019-Q3,Total Services Sector,Financial & Insurance,Fund Management,-21
2019-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,24
2019-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,11
2019-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-15
2019-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-22
2019-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-32
2019-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-20
2019-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,17
2019-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,0
2019-Q4,Total Services Sector,Financial & Insurance,Fund Management,0
2019-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,2
2019-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,16
